Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Latitude,Longitude
Russian Federation,praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,,
Brazil,presidente dutra,41,Good,1,Good,5,Good,1,Good,41,Good,,
Italy,priolo gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,,
Poland,przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,,
France,punaauia,22,Good,0,Good,22,Good,0,Good,6,Good,,
United States of America,punta gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,,
Germany,puttlingen,62,Moderate,1,Good,35,Good,3,Good,62,Moderate,,
Belgium,puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate,,
Russian Federation,pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate,,
Egypt,qalyub,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups,,
China,qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,,
Netherlands,raalte,41,Good,1,Good,24,Good,6,Good,41,Good,,
India,radaur,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy,30.02706,77.15177
Pakistan,radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy,,
Republic of North Macedonia,radovis,83,Moderate,1,Good,46,Good,0,Good,83,Moderate,,
France,raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate,,
India,rajgir,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy,,
Italy,ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate,,
United States of America,phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate,,
India,phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy,,
Poland,piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good,,
India,pimpri,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,Unhealthy for Sensitive Groups,18.62292,73.80696
Brazil,pindobacu,33,Good,0,Good,10,Good,1,Good,33,Good,,
China,pingyin,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy,,
Brazil,pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy,,
India,piravam,81,Moderate,1,Good,24,Good,1,Good,81,Moderate,9.86667,76.5
Colombia,plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,,
Romania,poiana mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,,
Russian Federation,polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good,,
France,pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate,,
United States of America,pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,,
Indonesia,pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,,
Brazil,porecatu,30,Good,1,Good,9,Good,2,Good,30,Good,,
Finland,pori,30,Good,1,Good,30,Good,1,Good,15,Good,,
South Africa,port elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate,,
United States of America,port neches,34,Good,1,Good,19,Good,7,Good,34,Good,,
United Kingdom of Great Britain and Northern Ireland,port talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate,,
United States of America,portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate,,
United States of America,post falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate,,
Brazil,pouso alegre,32,Good,1,Good,7,Good,2,Good,32,Good,,
China,dalinghe,64,Moderate,3,Good,64,Moderate,4,Good,64,Moderate,,
Russian Federation,dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good,,
United Republic of Tanzania,dar es salaam,51,Moderate,1,Good,23,Good,0,Good,51,Moderate,,
India,darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy,26.15216,85.89707
United States of America,dayton,45,Good,1,Good,32,Good,7,Good,45,Good,,
Belgium,deinze,36,Good,1,Good,25,Good,3,Good,36,Good,,
Egypt,dekernes,81,Moderate,2,Good,81,Moderate,4,Good,56,Moderate,,
Haiti,delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups,,
United States of America,deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate,,
United Kingdom of Great Britain and Northern Ireland,denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,,
United States of America,destin,31,Good,0,Good,31,Good,0,Good,25,Good,,
Pakistan,dhadar,157,Unhealthy,1,Good,89,Moderate,0,Good,157,Unhealthy,,
India,dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate,12.1277,78.15794
Pakistan,digri,153,Unhealthy,1,Good,40,Good,0,Good,153,Unhealthy,,
Somalia,dinsor,22,Good,0,Good,19,Good,0,Good,22,Good,,
Philippines,dipolog,30,Good,1,Good,17,Good,0,Good,30,Good,,
Latvia,dobele,44,Good,1,Good,34,Good,0,Good,44,Good,,
United States of America,grandville,47,Good,1,Good,37,Good,4,Good,47,Good,,
Netherlands,grave,37,Good,0,Good,32,Good,2,Good,37,Good,,
United States of America,green valley,44,Good,1,Good,14,Good,8,Good,44,Good,,
United States of America,greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate,,
Poland,grudziadz,37,Good,0,Good,33,Good,0,Good,37,Good,,
