City,Latitude,Longitude,Country,AQI Value,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
zunheboto,25.96667,94.51667,India,35.0,Good,1.0,14.0,0.0,35.0
zunheboto,26.0,94.5,India,35.0,Good,1.0,14.0,0.0,35.0
ziro,27.59497,93.83854,India,24.0,Good,1.0,22.0,0.0,24.0
zamania,25.3742,83.54376,India,173.0,Unhealthy,4.0,84.0,5.0,173.0
zamania,25.41961,83.55786,India,173.0,Unhealthy,4.0,84.0,5.0,173.0
zaidpur,26.83093,81.32929,India,163.0,Unhealthy,4.0,48.0,8.0,163.0
zahirabad,17.68138,77.60743,India,134.0,Unhealthy for Sensitive Groups,1.0,41.0,0.0,134.0
yol,32.16423,76.19622,India,137.0,Unhealthy for Sensitive Groups,2.0,99.0,0.0,137.0
yeola,20.0424,74.48944,India,134.0,Unhealthy for Sensitive Groups,1.0,31.0,0.0,134.0
yellapur,14.9637,74.70929,India,26.0,Good,1.0,26.0,0.0,21.0
yellandu,17.59064,80.32146,India,124.0,Unhealthy for Sensitive Groups,1.0,36.0,0.0,124.0
yelbarga,15.61545,76.01184,India,54.0,Moderate,1.0,28.0,2.0,54.0
yelahanka,13.10073,77.59632,India,57.0,Moderate,1.0,27.0,0.0,57.0
yavatmal,20.38704,78.11969,India,153.0,Unhealthy,1.0,31.0,0.0,153.0
yavatmal,20.39324,78.13201,India,153.0,Unhealthy,1.0,31.0,0.0,153.0
yavatmal,20.15,78.35,India,153.0,Unhealthy,1.0,31.0,0.0,153.0
yaval,21.16772,75.69762,India,102.0,Unhealthy for Sensitive Groups,1.0,38.0,0.0,102.0
yanam,16.73308,82.21364,India,119.0,Unhealthy for Sensitive Groups,3.0,44.0,4.0,119.0
yanam,16.73463,82.21773,India,119.0,Unhealthy for Sensitive Groups,3.0,44.0,4.0,119.0
yadgir,16.77007,77.13755,India,82.0,Moderate,0.0,27.0,0.0,82.0
wokha,26.09717,94.25817,India,57.0,Moderate,1.0,26.0,0.0,57.0
wokha,26.16667,94.25,India,57.0,Moderate,1.0,26.0,0.0,57.0
wazirganj,28.21145,79.05665,India,157.0,Unhealthy,4.0,32.0,14.0,157.0
wazirganj,24.80079,85.23873,India,157.0,Unhealthy,4.0,32.0,14.0,157.0
washim,20.11128,77.133,India,150.0,Unhealthy,1.0,40.0,0.0,150.0
warud,21.47101,78.26965,India,146.0,Unhealthy for Sensitive Groups,1.0,35.0,0.0,146.0
warora,20.22885,79.00277,India,151.0,Unhealthy,1.0,38.0,0.0,151.0
waris aliganj,25.0172,85.64047,India,302.0,Hazardous,1.0,88.0,1.0,283.0
wardha,19.59116,79.78854,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
wardha,20.73256,78.59507,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
wardha,20.73933,78.59784,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
wardha,20.33197,80.08183,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
wardha,20.83333,78.6,India,164.0,Unhealthy,0.0,29.0,0.0,164.0
waraseoni,21.76184,80.04301,India,153.0,Unhealthy,1.0,39.0,0.0,153.0
warangal,18.0,79.58333,India,164.0,Unhealthy,2.0,47.0,5.0,164.0
wanparti,16.36738,78.06889,India,108.0,Unhealthy for Sensitive Groups,0.0,30.0,0.0,108.0
wankaner,22.61198,70.94379,India,155.0,Unhealthy,0.0,32.0,0.0,155.0
wani,20.05507,78.95313,India,162.0,Unhealthy,2.0,27.0,12.0,162.0
walajapet,12.9251,79.36626,India,107.0,Unhealthy for Sensitive Groups,2.0,34.0,5.0,107.0
walajabad,12.79041,79.82358,India,100.0,Unhealthy for Sensitive Groups,2.0,40.0,3.0,100.0
wai,17.95276,73.89058,India,86.0,Moderate,0.0,23.0,0.0,86.0
wadi,17.05183,76.99048,India,74.0,Moderate,0.0,24.0,0.0,74.0
vyara,21.11079,73.39365,India,109.0,Unhealthy for Sensitive Groups,1.0,27.0,1.0,109.0
vuyyuru,16.36307,80.84406,India,142.0,Unhealthy for Sensitive Groups,1.0,42.0,0.0,142.0
vrindavan,27.58105,77.69662,India,246.0,Very Unhealthy,1.0,44.0,0.0,246.0
vizianagaram,18.11692,83.41148,India,129.0,Unhealthy for Sensitive Groups,3.0,39.0,7.0,129.0
vite,17.27343,74.53792,India,108.0,Unhealthy for Sensitive Groups,2.0,23.0,4.0,108.0
