Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,city,city_ascii,Latitude,Longitude,country,iso2,iso3,admin_name,capital,population,id
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,Presidente Dutra,Presidente Dutra,-5.29,-44.49,Brazil,BR,BRA,Maranhão,minor,45155.0,1076660845.0
Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,Priolo Gargallo,Priolo Gargallo,37.1667,15.1833,Italy,IT,ITA,Sicilia,,11249.0,1380949473.0
Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,Przasnysz,Przasnysz,53.0167,20.8833,Poland,PL,POL,Mazowieckie,minor,16662.0,1616909392.0
Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate,Puurs,Puurs,51.0761,4.2803,Belgium,BE,BEL,Flanders,,17452.0,1056438332.0
China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,Qinzhou,Qinzhou,21.981,108.654,China,CN,CHN,Guangxi,minor,3302238.0,1156106602.0
Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good,Raalte,Raalte,52.3828,6.2828,Netherlands,NL,NLD,Overijssel,minor,37911.0,1528789271.0
France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate,Raismes,Raismes,50.3897,3.4867,France,FR,FRA,Hauts-de-France,,12140.0,1250527948.0
Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate,Ramacca,Ramacca,37.3833,14.7,Italy,IT,ITA,Sicilia,,10211.0,1380742630.0
Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good,Piaseczno,Piaseczno,52.0667,21.0167,Poland,PL,POL,Mazowieckie,minor,51945.0,1616877485.0
Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy,Pinheiral,Pinheiral,-22.5128,-44.0008,Brazil,BR,BRA,Rio de Janeiro,minor,24298.0,1076878276.0
Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,Plato,Plato,9.7919,-74.7872,Colombia,CO,COL,Magdalena,minor,61856.0,1170202938.0
Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,Poiana Mare,Poiana Mare,43.9333,23.0833,Romania,RO,ROU,Dolj,,9047.0,1642956128.0
France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate,Pontarlier,Pontarlier,46.9067,6.3556,France,FR,FRA,Bourgogne-Franche-Comté,minor,17928.0,1250265545.0
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,Pontianak,Pontianak,-0.0206,109.3414,Indonesia,ID,IDN,Kalimantan Barat,admin,680880.0,1360992394.0
Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good,Porecatu,Porecatu,-22.7558,-51.3789,Brazil,BR,BRA,Paraná,minor,11624.0,1076148890.0
Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good,Pori,Pori,61.4833,21.8,Finland,FI,FIN,Satakunta,admin,84026.0,1246259412.0
Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good,Pouso Alegre,Pouso Alegre,-22.2281,-45.9336,Brazil,BR,BRA,Minas Gerais,minor,152549.0,1076082333.0
India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy,Darbhanga,Darbhanga,26.17,85.9,India,IN,IND,Bihār,,296039.0,1356846195.0
Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good,Deinze,Deinze,50.9833,3.5333,Belgium,BE,BEL,Flanders,,44315.0,1056715271.0
Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups,Delmas,Delmas,18.55,-72.3,Haiti,HT,HTI,Ouest,,284079.0,1332257532.0
